"","alpha1","beta1","r","r1","t_cll_subclones","t_M1_subclones","t_M2_subclones","r_tp1","lifetime_r","r1_tp1","lifetime_r1","t_M1_subclones_PE","t_M2_subclones_PE"
"3030",0.36,0.39,1.0362870145741,1.17856693330732,34.6315032796276,36.3900000034691,37.2900150351595,1.0362870145741,FALSE,1.17856693330732,FALSE,9.53320290407541e-09,4.0319548154298e-05
"3031",0.27,0.61,0.393077485871438,1.99522725608004,32.812404094159,35.3922899236534,36.5777665590958,0.724531106351585,TRUE,1.99522725608004,FALSE,-2.74171496660238,-1.90998509226123
"3032",0.38,0.44,0.976538708881231,1.25252334054991,34.602836695092,36.3900000028086,37.2900169996414,0.976538708881231,FALSE,1.25252334054991,FALSE,7.71818504195449e-09,4.55876680727275e-05
"3033",0.36,0.51,0.792894163393336,1.47663802952363,34.3818198109403,36.3899772112118,37.289977066859,0.792894163393336,FALSE,1.47663802952363,FALSE,-6.26237653605703e-05,-6.14994394053393e-05
"3034",0.32,0.49,0.769983844279181,1.56305769734883,34.3044096165135,36.3899878442441,37.2899900969627,0.769983844279181,FALSE,1.56305769734883,FALSE,-3.34041107949604e-05,-2.65568177656938e-05
"3035",0.39,0.62,0.563755364284572,1.60471141246499,33.0229377715978,35.5410200053423,36.6808847732263,0.719596080878239,TRUE,1.60471141246499,FALSE,-2.33300355772929,-1.63345461725316
"3036",0.3,0.54,0.623126318603088,1.74272688578352,32.86074953989,35.4217249283597,36.6078857833987,0.723377926931442,TRUE,1.74272688578352,FALSE,-2.66082734718415,-1.82921484741577
"3037",0.28,0.46,0.769983844279181,1.64122713179661,34.2651330565836,36.3899936104246,37.2899996358195,0.769983844279181,FALSE,1.64122713179661,FALSE,-1.75586023739674e-05,-9.76616981617703e-07
"3038",0.38,0.44,0.976538708881231,1.25252334054991,34.602836695092,36.3900000028086,37.2900169996414,0.976538708881231,FALSE,1.25252334054991,FALSE,7.71818504195449e-09,4.55876680727275e-05
"3039",0.41,0.57,0.738144671212099,1.45571859270366,34.3249323641944,36.3899806458946,37.2899806649488,0.738144671212099,FALSE,1.45571859270366,FALSE,-5.3185230433656e-05,-5.18504992322167e-05
"3040",0.31,0.39,0.95270543542122,1.34471330438616,34.5706835707174,36.3900070810854,37.2900197404488,0.95270543542122,FALSE,1.34471330438616,FALSE,1.94588772221338e-05,5.2937647548225e-05
"3041",0.34,0.33,1.10633934407509,1.05646063239262,34.6401861937386,36.3900000036914,37.2900144741995,1.10633934407509,FALSE,1.05646063239262,FALSE,1.01441056403691e-08,3.88152305565421e-05
"3042",0.31,0.54,0.63911380466098,1.70629374931353,32.8774716105604,35.4335748856855,36.6167524104309,0.722982523319128,TRUE,1.70629374931353,FALSE,-2.62826357327431,-1.80543735470393
